.geo,year,point_id,date,ndvi,savi,evi,rainfall,temp,wind_speed,soil_moisture,bsi,chl,humidity,lswi,ndmi,ndre,psri,vpd
"{""type"": ""Point"", ""coordinates"": [33.664421777679685, 0.007262124109281585]}",2026,97,1/3/2026,-0.098591549,-0.147792706,0.245066836,0.0,25.33012034,,0.0,,,,,,,,
"{""type"": ""Point"", ""coordinates"": [33.68767915562857, 0.25099757144306634]}",2026,103,1/3/2026,-0.097909791,-0.146783947,0.375527426,0.0,24.63505198,,0.0,,,,,,,,
"{""type"": ""Point"", ""coordinates"": [34.10765243752117, 1.411781709896601]}",2026,118,1/3/2026,0.632743363,0.948965081,1.287459807,0.0,24.5391861,,0.0,,,,,,,,
"{""type"": ""Point"", ""coordinates"": [33.52616407990925, 0.010278800893867995]}",2026,121,1/3/2026,-0.073359073,-0.109967846,0.141509434,0.0,25.44901683,,0.0,,,,,,,,
"{""type"": ""Point"", ""coordinates"": [33.63315164718112, 0.8590493500566888]}",2026,128,1/3/2026,0.62018513,0.930138827,1.388368984,0.0,25.25647125,,0.0,,,,,,,,
"{""type"": ""Point"", ""coordinates"": [33.72352747506493, -0.03411886946306534]}",2026,131,1/3/2026,-0.073221757,-0.109775222,0.373931624,0.0,25.33012034,,0.0,,,,,,,,
"{""type"": ""Point"", ""coordinates"": [33.99114977603314, 0.7498515268130048]}",2026,156,1/3/2026,0.542631579,0.813840284,1.251669297,0.0,24.55595042,,0.0,,,,,,,,
"{""type"": ""Point"", ""coordinates"": [33.51276011828646, 0.5778253288366546]}",2026,163,1/3/2026,0.617969822,0.926795817,1.515814266,0.0,24.69852854,,0.0,,,,,,,,
"{""type"": ""Point"", ""coordinates"": [33.624714392182554, -0.37716681013522746]}",2026,169,1/3/2026,-0.24025974,-0.359805511,0.145554681,2.161233425,25.28210602,,0.0,,,,,,,,
"{""type"": ""Point"", ""coordinates"": [33.602736073522884, 0.2642269009037621]}",2026,173,1/3/2026,0.749006623,1.123323953,1.945973847,0.0,24.41963857,,0.0,,,,,,,,
"{""type"": ""Point"", ""coordinates"": [33.794528414147365, 0.5784085267392892]}",2026,188,1/3/2026,0.860344268,1.290306868,3.023972603,0.0,24.4548762,,0.0,,,,,,,,
"{""type"": ""Point"", ""coordinates"": [33.647062188313946, 1.2220098256008174]}",2026,191,1/3/2026,0.530681052,0.795887409,1.47544057,0.0,25.55953115,,0.0,,,,,,,,
"{""type"": ""Point"", ""coordinates"": [36.42382318077336, 0.6471062068401233]}",2026,0,1/4/2026,0.683218557,1.024642145,1.835443038,0.0,19.32526487,,0.0,,,,,,,,
"{""type"": ""Point"", ""coordinates"": [36.22871626162561, 0.22004049106841325]}",2026,3,1/4/2026,0.618764846,0.9280095,1.480534243,0.0,18.9336633,,0.0,,,,,,,,
"{""type"": ""Point"", ""coordinates"": [36.14426316794573, -1.3778200050007223]}",2026,24,1/4/2026,0.210088272,0.315092674,0.289296381,0.0,22.01699664,,0.0,,,,,,,,
"{""type"": ""Point"", ""coordinates"": [36.33834218045585, -0.17059655715250985]}",2026,27,1/4/2026,0.392992424,0.589418866,0.720486111,0.0,13.81330198,,0.0,,,,,,,,
"{""type"": ""Point"", ""coordinates"": [36.055073447974145, -0.5443751612393876]}",2026,36,1/4/2026,0.492483464,0.738614159,1.178586847,0.0,20.20718218,,0.0,,,,,,,,
